sample	genotype_variation_s	treatment_s
pair01_wt_mock_r1	wild type	mock
pair02_wt_mock_r2	wild type	mock
pair03_wt_mock_r3	wild type	mock
pair04_wt_aba_r1	wild type	ABA
pair05_wt_aba_r2	wild type	ABA
pair06_wt_aba_r3	wild type	ABA
pair07_ros13_mock_r1	ros1-3	mock
pair08_ros13_mock_r2	ros1-3	mock
pair09_ros13_mock_r3	ros1-3	mock
pair10_ros13_aba_r1	ros1-3	ABA
pair11_ros13_aba_r2	ros1-3	ABA
pair12_ros13_aba_r3	ros1-3	ABA
pair13_ros14_mock_r1	ros1-4	mock
pair14_ros14_mock_r2	ros1-4	mock
pair15_ros14_mock_r3	ros1-4	mock
pair16_ros14_aba_r1	ros1-4	ABA
pair17_ros14_aba_r2	ros1-4	ABA
pair18_ros14_aba_r3	ros1-4	ABA
