target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2313.73	0	0
AT1G18320.1	699	503.728	7.38494	3.24991
AT5G11100.1	1709	1513.73	34	4.97912
AT4G35335.1	1280	1084.73	68	13.8966
AT1G60930.1	3876	3680.73	21	1.26476
AT1G17000.1	2351	2155.73	0	0
AT3G55270.1	3130	2934.73	181	13.672
AT4G16150.1	3181	2985.73	331	24.5753
AT3G18150.1	1370	1174.73	0	0
AT3G52310.1	2443	2247.73	6	0.591737
AT3G08943.1	3165	2969.73	126.045	9.40868
AT4G15950.1	814	618.728	46	16.4808
AT5G60900.1	2873	2677.73	1	0.0827856
AT5G18710.1	1919	1723.73	1	0.128603
AT1G64460.1	2240	2044.73	65	7.04691
AT2G31100.1	1247	1051.73	0	0
AT1G60260.1	1634	1438.73	64	9.86103
AT2G06210.1	3579	3383.73	139	9.10627
AT3G57180.1	2232	2036.73	76	8.27183
ATMG01320.1	922	726.728	2.51532	0.767258
AT4G15130.1	1234	1038.73	61	13.0181
AT5G39100.1	808	612.728	3	1.08536
AT4G16110.1	2666	2470.73	82	7.35716
AT5G26800.1	637	441.728	99	49.6822
AT4G16360.1	1685	1489.73	165	24.5526
ATMG00060.1	542	346.998	5	3.19421
AT1G76820.1	3857	3661.73	58.611	3.54825
AT3G05780.1	2775	2579.73	0	0
AT1G24405.1	718	522.728	1	0.424077
AT2G27490.4	843	647.728	28.3051	9.68708
AT2G27490.1	1367	1171.73	10.8707	2.0566
AT2G27490.3	1201	1005.73	0	0
AT2G27490.2	1381	1185.73	25.8243	4.82796
AT3G13276.1	269	91.2562	2	4.85835
AT1G71740.1	393	200.948	4	4.41263
AT1G52920.1	1351	1155.73	2	0.383615
AT2G17370.1	2273	2077.73	61	6.50822
AT4G13615.1	813	617.728	331	118.782
AT3G46680.1	1350	1154.73	0	0
AT1G70830.3	996	800.728	0	0
AT1G70830.2	1329	1133.73	0	0
AT1G70830.5	787	591.728	0	0
AT1G70830.4	1393	1197.73	0	0
AT1G70830.1	1331	1135.73	254	49.577
AT2G34090.3	1458	1262.73	0	0
AT2G34090.2	1616	1420.73	0	0
AT2G34090.1	1700	1504.73	75	11.049
AT2G34090.4	1521	1325.73	0	0
AT2G34090.5	1425	1229.73	0	0
AT1G65541.1	340	151.716	0	0
AT2G01050.1	1548	1352.73	0	0
AT2G07751.1	357	167.236	0	0
AT4G20565.1	789	593.728	0	0
AT1G61566.1	551	355.998	0	0
AT4G29530.2	1148	952.728	0.368225	0.0856771
AT4G29530.1	1144	948.728	24.6318	5.75539
AT5G09225.1	780	584.728	150	56.8667
AT1G21100.1	1545	1349.73	95.5914	15.6998
AT1G73150.1	2150	1954.73	10.3729	1.17634
AT1G73150.2	1956	1760.73	9.62713	1.21206
AT3G51750.3	654	458.728	0	0
AT3G51750.1	563	367.927	4	2.41002
